Fecha,Hidráulica,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Residuos renovables,Potencia renovable
01/2015,17008.559,22924.3,4678.842,2304.013,885.28,153.322,47954.31599999999
02/2015,17010.909,22924.3,4678.912,2304.013,885.28,153.322,47956.736
03/2015,17010.909,22924.3,4679.129,2304.013,885.28,153.322,47956.953
04/2015,17010.849,22924.4,4679.236,2304.013,885.28,153.322,47957.09999999999
05/2015,17010.849,22926.2,4679.601,2304.013,885.28,153.322,47959.265
06/2015,17010.849,22926.825,4680.129,2304.013,885.28,153.322,47960.418
07/2015,17013.574,22926.825,4682.787,2304.013,885.28,153.322,47965.801
08/2015,17013.574,22926.825,4682.9,2304.013,885.28,153.322,47965.914000000004
09/2015,17013.574,22926.825,4683.354,2304.013,885.28,153.322,47966.368
10/2015,17013.574,22926.825,4683.467,2304.013,886.343,153.322,47967.544
11/2015,17016.381,22926.825,4683.62,2304.013,887.143,153.322,47971.304000000004
12/2015,17043.141,22927.025,4683.869,2304.013,887.143,153.322,47998.51299999999
01/2016,17043.141,22927.025,4683.883,2304.013,887.898,153.322,47999.282
02/2016,17043.141,22931.525,4686.173,2304.013,888.958,153.322,48007.132
03/2016,17049.486,22931.525,4686.236,2304.013,888.958,153.322,48013.53999999999
04/2016,17049.531,22931.525,4686.307,2304.013,887.308,153.322,48012.005999999994
05/2016,17049.806,22931.525,4686.362,2304.013,887.308,153.322,48012.336
06/2016,17050.171,22931.525,4686.384,2304.013,887.308,153.322,48012.72299999999
07/2016,17050.171,22933.195,4686.596,2304.013,887.308,153.322,48014.60499999999
08/2016,17050.171,22933.195,4686.966,2304.013,887.308,153.322,48014.97499999999
09/2016,17050.171,22964.76,4687.529,2304.013,885.693,153.322,48045.488
10/2016,17050.171,22964.76,4687.961,2304.013,885.693,153.322,48045.92
11/2016,17050.171,22966.76,4688.128,2304.013,888.666,153.322,48051.05999999999
12/2016,17050.171,22978.46,4688.705,2304.013,889.766,153.322,48064.437
01/2017,17050.171,22979.31,4689.973,2304.013,890.09,157.322,48070.87899999999
02/2017,17050.171,22979.31,4690.312,2304.013,890.09,157.322,48071.21799999999
03/2017,17051.358,22979.31,4690.417,2304.013,890.09,157.322,48072.51
04/2017,17051.228,22979.21,4689.916,2304.013,890.09,157.322,48071.77899999999
05/2017,17051.443,22979.435,4690.413,2304.013,890.09,157.322,48072.71599999999
06/2017,17054.315,23008.93,4690.643,2304.013,888.515,157.322,48103.73799999999
07/2017,17054.275,23025.369,4690.288,2304.013,880.906,157.322,48112.173
08/2017,17054.575,23032.419,4690.413,2304.013,880.906,157.322,48119.64800000001
09/2017,17054.575,23032.419,4690.966,2304.013,885.056,157.322,48124.351
10/2017,17054.575,23032.564,4691.282,2304.013,885.056,157.322,48124.81199999999
11/2017,17054.385,23033.464,4691.357,2304.013,885.887,157.322,48126.42800000001
12/2017,17054.385,23071.464,4691.878,2304.013,886.524,157.322,48165.585999999996
01/2018,17058.6,23073.814,4692.37,2304.013,887.587,157.322,48173.706
02/2018,17064.9,23086.214,4705.913,2304.013,887.587,157.322,48205.949
03/2018,17064.9,23100.114,4706.024,2304.013,887.587,157.322,48219.96
04/2018,17064.912,23110.484,4707.689,2304.013,887.587,157.322,48232.007
05/2018,17064.952,23131.534,4710.671,2304.013,887.587,157.322,48256.079000000005
06/2018,17064.952,23131.534,4711.624,2304.013,887.587,157.322,48257.032
07/2018,17065.039,23131.534,4711.938,2304.013,887.587,157.322,48257.433000000005
08/2018,17065.039,23212.334,4717.031,2304.013,887.587,157.322,48343.326
09/2018,17065.039,23222.334,4717.239,2304.013,891.417,157.322,48357.364
10/2018,17065.039,23268.409,4717.626,2304.013,891.417,157.322,48403.82600000001
11/2018,17065.039,23372.399,4719.954,2304.013,891.417,157.322,48510.144
12/2018,17065.039,23436.449,4771.272,2304.013,891.417,157.322,48625.511999999995
01/2019,17065.039,23484.812,4829.922,2304.013,891.417,157.322,48732.525
02/2019,17065.039,23528.012,5007.819,2304.013,892.48,157.322,48954.685000000005
03/2019,17099.134,23528.012,5012.203,2304.013,892.545,157.322,48993.22899999999
04/2019,17099.134,23577.712,5506.369,2304.013,894.545,157.322,49539.094999999994
05/2019,17099.156,23631.662,5561.298,2304.013,941.535,157.322,49694.986000000004
06/2019,17099.156,23670.366,5746.626,2304.013,941.535,157.322,49919.018000000004
07/2019,17099.156,23725.641,5974.238,2304.013,941.726,157.322,50202.096
08/2019,17099.156,24075.756,6292.223,2304.013,941.726,157.322,50870.195999999996
09/2019,17099.156,24425.136,6540.613,2304.013,941.729,157.322,51467.969
10/2019,17099.156,25063.261,7408.327,2304.013,991.729,157.322,53023.808
11/2019,17099.226,25320.096,8567.072,2304.013,1041.642,157.322,54489.371
12/2019,17099.226,25687.442,8746.701,2304.013,1041.642,157.322,55036.346
01/2020,17099.226,25721.726,8868.515,2304.013,1091.142,157.322,55241.943999999996
02/2020,17099.226,25729.556,8909.676,2304.013,1090.642,157.322,55290.435
03/2020,17099.226,26102.306,9414.826,2304.013,1090.642,157.322,56168.335
04/2020,17099.226,26120.506,9501.372,2304.013,1090.642,157.322,56273.081000000006
05/2020,17099.226,26313.961,9716.76,2304.013,1090.642,157.322,56681.924
06/2020,17099.226,26442.106,9875.049,2304.013,1090.642,157.322,56968.35799999999
07/2020,17099.226,26536.927,10167.986,2304.013,1090.642,157.322,57356.115999999995
08/2020,17099.696,26737.832,10201.508,2304.013,1090.642,157.322,57591.013
09/2020,17099.696,27017.667,10710.432,2304.013,1090.642,157.322,58379.772
10/2020,17099.696,27233.307,11114.717,2304.013,1089.97,157.322,58999.025
11/2020,17099.696,27564.702,11377.906,2304.013,1089.97,157.322,59593.609000000004
12/2020,17099.121,27673.902,11663.581,2304.013,1091.47,157.322,59989.409
01/2021,17099.121,27682.602,11788.353,2304.013,1091.47,157.322,60122.881
02/2021,17094.621,27775.852,12103.82,2304.013,1091.97,170.112,60540.388
03/2021,17094.621,27804.152,12411.465,2304.013,1092.97,170.112,60877.333
04/2021,17094.621,27848.052,12568.371,2304.013,1092.97,170.112,61078.138999999996
05/2021,17094.621,27998.552,12863.72,2304.013,1094.994,170.112,61526.011999999995
06/2021,17094.621,28128.227,13175.603,2304.013,1094.994,170.112,61967.57
07/2021,17094.621,28211.472,13486.183,2304.013,1092.786,170.112,62359.187
08/2021,17094.621,28211.472,13621.287,2304.013,1092.786,170.112,62494.291000000005
09/2021,17094.785,28216.162,13774.882,2304.013,1092.786,170.112,62652.74
10/2021,17094.785,28418.312,14030.76,2304.013,1092.786,170.112,63110.768000000004
11/2021,17094.785,28420.312,14554.135,2304.013,1092.786,170.112,63636.143000000004
12/2021,17094.785,28676.382,15267.827,2304.013,1092.786,170.112,64605.905
01/2022,17094.785,28699.107,15679.75,2304.013,1092.786,170.112,65040.553
02/2022,17094.785,28907.577,15922.845,2304.013,1092.786,170.112,65492.118
03/2022,17094.785,29065.877,16195.827,2304.013,1092.786,170.112,65923.4
04/2022,17094.785,29114.727,16347.609,2304.013,1092.786,170.112,66124.03199999999
05/2022,17094.785,29581.927,16876.461,2304.013,1093.176,170.112,67120.474
06/2022,17094.785,29637.327,17095.456,2304.013,1093.176,170.112,67394.869
07/2022,17094.785,29656.527,17982.885,2304.013,1093.176,170.112,68301.498
08/2022,17094.785,29717.817,18226.008,2304.013,1093.176,170.112,68605.91100000001
09/2022,17094.785,29798.917,18477.326,2304.013,1093.176,170.112,68938.32900000001
10/2022,17094.785,29860.217,18725.545,2304.013,1093.176,170.112,69247.848
11/2022,17094.785,30037.417,19666.207,2304.013,1093.176,170.112,70365.71
12/2022,17094.785,30151.867,19993.246,2304.013,1093.176,170.112,70807.19900000001
01/2023,17094.785,30203.737,20247.807,2304.013,1093.176,170.112,71113.63
02/2023,17094.785,30288.937,20631.931,2304.013,1093.176,170.112,71582.95400000001
03/2023,17097.22,30354.287,21187.832,2304.013,1094.176,170.112,72207.64
04/2023,17097.22,30366.187,21543.266,2304.013,1094.176,170.112,72574.97400000002
05/2023,17097.22,30397.447,21763.805,2304.013,1094.176,170.112,72826.77300000002
06/2023,17097.22,30446.147,22782.273,2304.013,1094.176,170.112,73893.941
07/2023,17097.22,30466.767,22932.196,2304.013,1094.176,170.112,74064.48400000001
08/2023,17097.22,30466.767,23379.374,2304.013,1094.176,170.112,74511.66200000001
09/2023,17097.22,30488.767,23570.186,2304.013,1094.176,170.112,74724.47400000002
10/2023,17097.22,30553.767,23904.102,2304.013,1094.176,170.112,75123.39000000001
11/2023,17097.22,30553.767,23909.277,2304.013,1094.176,170.112,75128.565
